School Name,Inclusion,Early Childhood Center-Based,ABA-Based Classrooms,Emotional Impairment (EI) - Externalizing,Emotional Impairment (EI) - Internalizing,Mild Intellectual Disabilities,Moderate Intellectual Disabilities,Severe Intellectual Disabilities/Multiple Disabilities,Specific Learning Disabilities,Public Day Schools,Special Admission Schools
Another Course to College,Yes,,,,,,,,,,
Baldwin Early Learning Pilot Academy,Yes,,,,,,,,,,
Bates Elementary,Yes,,,,,,,,,,
Blackstone Elementary School,Yes,,,,,,,,,,
Boston Community Leadership Academy- McCormack,Yes,,,,,,,,,,
Boston Teachers Union K-8 Pilot,Yes,,,,,,,,,,
Bradley Elementary,Yes,,,,,,,,,,
Brighton High School,Yes,,,,,,,,,,
Charlestown High School,Yes,,,,,,,,,,
Chittick Elementary,Yes,,,,,,,,,,
Clap Elementary School,Yes,,,,,,,,,,
Condon K-8,Yes,,,,,,,,,,
Conley Elementary,Yes,,,,,,,,,,
Curley K-8 School,Yes,,,,,,,,,,
Dearborn 6-12 STEM Academy,Yes,,,,,,,,,,
Dever Elementary,Yes,,,,,,,,,,
East Boston Early Education Center,Yes,,,,,,,,,,
East Boston High School,Yes,,,,,,,,,,
Edison Elementary,Yes,,,,,,,,,,
Eliot K-8 Innovation School,Yes,,,,,,,,,,
Eliot K-8 Innovation School - Intermediate,Yes,,,,,,,,,,
Eliot K-8 Innovation School - Upper,Yes,,,,,,,,,,
Ellison/Parks Early Education School,Yes,,,,,,,,,,
English High School,Yes,,,,,,,,,,
Everett Elementary,Yes,,,,,,,,,,
Fenway High School,Yes,,,,,,,,,,
Frederick Pilot Middle School,Yes,,,,,,,,,,
Gardner Pilot Academy,Yes,,,,,,,,,,
Guild Elementary,Yes,,,,,,,,,,
"Haley Pilot School
 (K0-6 SY25-26)",Yes,,,,,,,,,,
Harvard/Kent Elementary,Yes,,,,,,,,,,
Haynes Early Education Center,Yes,,,,,,,,,,
Henderson K-12 Inclusion School Lower,Yes,,,,,,,,,,
Henderson K-12 Inclusion School Upper,Yes,,,,,,,,,,
Hennigan K-8 School,Yes,,,,,,,,,,
Higginson Inclusion K0-2 School,Yes,,,,,,,,,,
Higginson/Lewis K-8,Yes,,,,,,,,,,
Holland School of Technology,Yes,,,,,,,,,,
Holmes Elementary,Yes,,,,,,,,,,
