School Name,Address,Phone Number,Email Address,Grades Served,School Type
Adams Elementary School,"165 Webster St. East Boston, MA 02128",(617) 635-8383,adams@bostonpublicschools.org,0 - 6,Traditional
Alighieri Dante Montessori School,"37 Gove St. East Boston, MA 02128",(617) 635-8529,alighieri@bostonpublicschools.org,0 - 6,Traditional
Baldwin Early Learning Pilot Academy,"121 Corey Rd. Brighton, MA 02135",(617) 635-8409,nzelc@bostonpublicschools.org,0 - 1,Pilot
Bates Elementary School,"426 Beech St. Roslindale, MA 02131",(617) 635-8064,bates@bostonpublicschools.org,0 - 6,Traditional
Beethoven Elementary School,"5125 Washington St. West Roxbury, MA 02132",(617) 635-8149,beethoven@bostonpublicschools.org,1 - 2,Traditional
Blackstone Elementary School,"380 Shawmut Ave South End, MA 02118",(617) 635-8471,blackstone@bostonpublicschools.org,0 - 6,Traditional
Boston Teachers Union K-8 Pilot School,"25 Walk Hill St Jamaica Plain, MA 02130",(617) 635-7717,btuschool@bostonpublicschools.org,1 - 8,Pilot
Bradley Elementary School,"110 Beachview Rd East Boston, MA 02128",(617) 635-8422,bradley@bostonpublicschools.org,0 - 6,Traditional
Channing Elementary School,"35 Sunnyside St Hyde Park, MA 02136",(617) 635-8722,channing@bostonpublicschools.org,0 - 6,Traditional
Chittick Elementary School,"154 Ruskindale Rd Mattapan, MA 02136",(617) 635-8652,chittick@bostonpublicschools.org,0 - 6,Traditional
Clap Elementary School,"35 Harvest St Dorchester, MA 02125",(617) 635-8672,clap@bostonpublicschools.org,0 - 6,Traditional
Condon K-8 School,"200 D St South Boston, MA 02127",(617) 635-8608,condon@bostonpublicschools.org,0 - 8,Traditional
Conley Elementary School,"450 Poplar St Roslindale, MA 02131",(617) 635-8099,conley@bostonpublicschools.org,0 - 6,Elementary
Curley K-8 School,"40 Pershing Rd Jamaica Plain, MA 02130",(617) 635-8239,,0 - 8,Traditional
Dever Elementary School,"325 Mt Vernon St Dorchester, MA 02125",(617) 635-8694,dever@bostonpublicschools.org,1 - 6,Traditional
